	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq1588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales			
seq1589	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Subgroup_6				
seq1590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Filomicrobium	
seq1591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	lactis
seq1592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Thermobacillus	
seq1593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Ornithinibacillus	
seq1594	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli				
seq1595	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota						
seq1596	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae		
seq1597	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Planifilum	
seq1598	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae		
seq1599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus	
seq1600	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales			
seq1601	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	
seq1602	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
seq1603	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae		
seq1604	0	0	0	0	0	217	0	0	24	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales			
